,bike_name,price,kms_driven,owner,age,power,city_code,brand_code
23898,Yamaha Fazer 25,123000,14500,0,4,250,387,3
23899,Royal Enfield Classic,95500,18000,0,8,350,1,1
23900,Hero Passion Pro,32000,12000,0,6,100,1,5
23901,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
23902,Hero Passion 100cc,15000,35000,1,19,100,388,5
23903,Hero Passion Pro,39000,22000,0,4,100,1,5
23904,TVS Apache RTR,30000,6639,0,9,180,19,0
23905,Bajaj Avenger Street,60000,20373,0,6,220,1,6
23906,Hero Super Splendor,15600,84186,0,16,125,18,5
23907,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
23908,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23909,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23910,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23911,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23912,Royal Enfield Classic,87000,16336,0,7,350,104,1
23913,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23914,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23915,KTM RC 390cc,196700,13216,0,4,390,3,9
23916,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
23917,Yamaha Fazer 25,123000,14500,0,4,250,387,3
23918,Royal Enfield Classic,95500,18000,0,8,350,1,1
23919,Hero Passion Pro,32000,12000,0,6,100,1,5
23920,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
23921,Hero Passion 100cc,15000,35000,1,19,100,388,5
23922,Hero Passion Pro,39000,22000,0,4,100,1,5
23923,TVS Apache RTR,30000,6639,0,9,180,19,0
23924,Bajaj Avenger Street,60000,20373,0,6,220,1,6
23925,Hero Super Splendor,15600,84186,0,16,125,18,5
23926,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
23927,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
23928,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
23929,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
23930,Bajaj Avenger Street,55005,6600,0,5,220,85,6
23931,Royal Enfield Classic,87000,16336,0,7,350,104,1
23932,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
23933,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
23934,KTM RC 390cc,196700,13216,0,4,390,3,9
